,reviews
418,Manchester to JFK via Heathrow and back. Positive experience although the flight from Manchester to Heathrow was delayed (outside BA control) we were constantly informed about the delays. Attention to detail was excellent. BA upgraded our flights at our request promptly and without any fuss (Silver wedding Anniversary). The flight attendants were excellent and the food (and drinks) was tasty. Some passengers can be somewhat critical about BA but we were more then satisfied with the service.
419,Travelled from Gatwick to Barbados on Boeing 777. Seating very good. As many reviewers mention the screen is small with a limited amount of films. Overall staff very good although one member of staff forget to give bread rolls out with the dinner until asked. The same member of staff also forgot requested drinks. Very good boarding procedure and disembarkment Overall a pleasant flight.
420,BRU-LHR-DFW-SAT. BRU-LHR: Club Europe Smooth check-in with friendly ground crew small but clean lounge with a delicious croissant and coffee greeted by friendly cabin-crew who gave us an excellent service on this small flight starting with hot towels tasting hot breakfast and excellent tea seats are comfortable but narrow for this short flight. LHR-DFW: First class with fast security process Concorde room with online reserved Cabana was again an island of rest and comfort. Clean 777-300 greeted by name flight crew were excellent. Flight and service couldn't be better. Food was good amenity kit contains everything you need on a 10-hours flight slippers and pyjamas were comfortable. Service was private excellent and on request always with a smile asking if everything was alright. Screen in first is still on of the best with a good selection of movies. DFW-SAT: First class customs in Dallas were electronic for ESTA people so 10 minutes after leaving the plane I was waiting for my bags so I could recheck for my last domestic flight! Greeted by friendly crew when boarding old plane AA. We were offered hot towel and glass of champagne. Friendly captain told us after leaving the gate that there was a problem and we did have to taxi to another gate for technical support. After 1 hour (captain had kept us informed) we took off an arrived after a short flight in San Antonio.
421,This was the first time I have flown with BA and I have to say I was very impressed. I flew economy from Brisbane to LHR return. Via Singapore on the outgoing trip and Hong Kong on the return leg. The experience was so much better than on previous flights I had taken with competing airlines. The cabin felt spacious and comfortable even in economy. There was a good range of inflight entertainment and all staff were extremely friendly and helpful. The cost of the flight was a little more expensive than other airlines but having been very satisfied with the service it would not preclude me from booking with them again. Would preference them over other airlines now following that trip along with recommending them to others.
422,IST-LHR the so called business class is a joke and is virtually indistinguishable from economy on any decent airline seats are crammed together and do not recline properly there is no sort of entertainment whatsoever on a four hour flight. Having flown on Turkish Royal Jordanian Emirates and Cathay Pacific in the past couple of months only made the contrast more striking. Never again!
423,A short hop from LCY-ZRH. Nice clean Embraer which was only about 30% full on a Monday afternoon. Off on time landed early decent pasta salad meal and a white wine in flight. Smooth and efficient journey at a very good price.
424,SAT-DFW-LHR-BRU: First First club Europe. SAT-DFW: Nice and smooth check-in with friendly ground crew no lounge but used my priority pass to enter United lounge. Plane delayed for one hour. Boarding smooth greeted by friendly cabin crew captain apologised for the delay. Offered hot towels and champagne and crisps or nuts. Short but nice flight. Landed with a small delay. DFW-LHR: First class lounge in DFW is very basic and far from boarding gate. Boarding again was very smooth with waiting flight crew greeting you by name and guiding to your seat. Champagne was offered before you could take place in your seat. This first class travel was again a more than excellent flight. Also this time there was a technical issue but the captain informed us about every step excused several times for the delay again when landing in London with a delay of more than an hour. Cabin crew gives you the feeling you are the only guest on board giving you private service on demand. LHR-BRU: Club Europe. Concorde room with online reserved Cabana and a tasteful breakfast. Private bathroom with shower gave me a new revival boost. Boarding yes again excellent in all ways short flight. Hot towels decent food and perfect service by a perfect crew.
425,"LGW-Pisa. I wrote a positive experience a few weeks ago - on the LHR route to Pisa. I am pleased to write (wait for it) another positive review. This time it was the ""old"" Club Europe and better in my view. As I said before its a shame BA cannot produce something exceptional rather than ""Very Good"" when it comes to the seat. The lounge was okay - not to crowded. Flight left 10 minutes late. Very nice meal on board. Really tasty and fresh. Nice smoked salmon and so on. A few Gin and T's washed it down. Friendly FA's. Smooth flight. My only gripe we were parked off station on the outer airport - like Ryanair. A small hassle with a walk over the tarmac. Bags were not given priority which was annoying. All in all - a good experience."
426,Excellent experience LHR to HKG. Was a bit apprehensive about their reputation but found the whole trip excellent. Staff were friendly and helpful aircraft was clean and IFE gave a wide choice. Drinks offered half an hour into the flight and meal served within an hour. Would definitely travel with BA again.
427,We flew Premium Economy class from Singapore to London on a 747 carrier. It was a waste of money. The plane looked 100 years old and nothing seemed to work properly. The entertainment system remote control was stuck to its base and it had to be removed with a sharp instrument. The little screen showed a blurred picture so it was not worth watching movies. The crew was nowhere to be seen and they couldn''t be called if you needed something because the call button had been cancelled on all remote controls. At some stage I went to the toilet and went through the kitchen. The crew was there talking and laughing and one of them was sitting reading the paper. Shame on you BA. Never again!
428,LHR-SYD-LHR via Singapore. I hadn't flown BA long-haul for over fifteen years and so given some of the rather negative reviews on this site I approached the experience with trepidation. However I needn't have worried: everything was tip-top from on-line check-in bag drop lounges boarding on-time departure and arrival on both legs and prompt luggage collect. The aircraft both ways was a newish 777-300ER clean and well maintained and while the herring-bone seat configuration does seem a bit weird on both sectors I was in the last row window seat facing backwards with an empty seat next to me so I was able to slip in and out easily enough and didn't have anyone facing me. The seat was a little narrow for business class. but very comfortable with lots of storage space and no shortage of pillows and blankets; the IFE was excellent - screen on the small side but very good definition and audio. Food was simple but very good quality fresh well-presented and lots of it. Very generous with the booze - excellent champagne wines and some fine malt whiskies all served correctly by the wonderfully attentive FAs: old school British middle aged ladies and gentlemen chatty and polite to the point of parody but the twinkle in their eyes tells you that they know it. An excellent experience keep it up BA.
429,LHR-MAD with BA462 on a Boeing 767-300ER. Very full flight but it didn't stop the crew from delivering superb customer service! Drinks and sandwich offered 30 minutes after take off. Second round of drinks offered. Very cheerful crew helpful and friendly. Pilot personally came out to greet passengers on our way out. Very smooth take off. Landing could be better. Would definitely fly with British Airways again!
430,For my annual trip ATH-PHL via any European city (dep 18/3 return 19/4) this time I chose BA because they were the cheapest. This was my first flight on BA to the USA. Soon after my choice I tried to select a seat as far front as possible however I was asked to pay 35 euros for a seat in row. 27. 35 euros and you are almost at the end of the aircraft. In the end BA was more expensive than others. The flight was ok and punctual B777 not really my choice as very noisy staff service - one hostess was excellent another was ignorant and unwilling. Food the usual Penne Rigate. Complained to BA via email however no reply was ever received. For my return flight I was in row 30 same noisy B777 same Penne Rigate and of course a good choice of inflight entertainment. Breakfast with lovely frozen bread roll. Yes frozen or chilled. My next choice will of course not be BA.
431,A short haul from Gatwick to Rome and I had no expectations. Check in was quick and we were on a vintage Boeing 737. All in all very happy. They supplied a decent enough snack. Drinks service was efficient. There was no in- flight entertainment available but we should all be able to cope for 2 hours without surely? Comfortable enough friendly service got there on time and good price. All adds up to a happy traveller.
432,NCL-LHR return. Great alternative to rail travel which is sometimes more expensive. Check-in was a breeze on both sides. New comfortable A320 cabin old ones were really aged. A choice of snack and drink were served with options for alcohol. Delay arriving into Heathrow as usual the airport is really over capacity and limiting BA as an airline. Annoyed that you are no longer able to choose your seat on hand-baggage only fares!
433,Flew from London Heathrow to Rome Fiumicino. Flew the same route last year too and both times it was excellent. This time our flight was operated with an Airbus A320 with slim line seats that looked brand new. These were very comfortable for a short haul flight and the leg room sufficient. In-flight catering was excellent. Coffee was a bit weak but the sandwiches were delicious. This time cheese and ham doorstop with white bread. I expected good things after last years flat bread and was not disappointed. Cabin crew were very friendly and efficient as were the airport staff. Boarding process was fast and efficient and on both flights at arrival and destination the aircraft was at a jet bridge so no need to board a bus. Flights departed and arrived on time. Will definitely fly BA again.
434,LHR-SFO-LHR. Missed out on the A380 and both legs were in a 747-400. Planes were old but well maintained and clean so no complaints there. Outward leg was excellent with good food and great cabin service. On the return leg the lady in front fully reclined her seat immediately after take off and went to sleep leaving me with just about the same cramped space as you have in Economy. Even during meal service cabin crew did nothing to alleviate the situation. Very disappointed with this aspect and also with the breakfast. How many people on this site have complained that they do not want a hard croissant and sweet cereal bar for breakfast. BA are you listening?
435,Heathrow to Bilbao. This is one of BA's new routes (although they used to fly the route years ago on a B757) and we got our return flights for a bargain Â£74. BA's hand luggage only fares to Europe offer very good value and I wonder when they will consider this pricing tier for long haul routes! The A319 flight left from Heathrow Terminal 1 which is closing in June but now looks and feels like a ghost town. There were 3 shops open on the day of our departure and most of it is boarded up. As for the flight we had the usual BA chaotic boarding process but overall an excellent flight even if the new seats are uncomfortable and certainly similar to Ryanair with hardly any space. I appreciate BA's offering of sandwiches on their short haul flights but do wonder whether passengers really need this service nowadays.
436,Club Europe LHR-AMS. The boarding process was a joke we had to take the bus to our aircraft. In the boarding lounge they asked for all Club Europe and Gold and Silver to come forward and board the bus then they let all of the remaining passengers board the bus which made priority boarding a total joke. They should follow the same process when flights land at a remote stand and have a separate bus just for use by Club Europe passengers at least when departing Club Europe passengers would enjoy their priority boarding. I understand there is a need for on time departures but BA really need to ensure that where priority boarding is taking place their Club Passenger receive it.
437,"BA 1321 Newcastle to Heathrow 1/4/15. Check in at Newcastle was as always very fast and efficient. Once on board the cabin crew did a great job of welcoming everyone. A great crew offering old school BA charm at it's best and no small achievement considering the very early departure time. New and very ""compact"" seating which seems to be the new norm for economy class travel on short haul European flights. Flight arrived at T5 not quite on time as I remember but hey ho not at all bad."
438,Flew Gatwick to Kingston 13/3/15 return 27/3/15 big disappointment had to climb over strangers legs to leave seats. Not all options of food available if your at the end of the meal run. Need to pay to sit together separated from my husband who was next to a nice bloke who was happy to move so we could sit together BA did not even try to accommodate us. Not worth the money Virgin far superior from their lounge to the flight. Will never travel BA long haul again be warned don't waste your money.
439,BA1326 Heathrow to Newcastle 22/4/15. Checked in at T5 by an agent who should train some of the others. Very welcoming instantly struck up a conversation with me this person was a credit to the company and a much needed one. The good experience ended there. Punctuality reared it's ugly head once more. I've recorded this repeatedly. Departure was delayed 45 minutes. Not the end of the world but an inconvenience which happens so regularly I can pretty much count on it. It's a shame BA can't address these issues and get flights operating to schedule the majority of the time as other airlines are well able to. Once on board BA is like a tale of two airlines. Some crews are excellent others just lack professionalism and behave rather strangely at times. Possibly this may stem from the two tier or mixed fleet system. But whatever the issue may be crew quality and service is inconsistent. When we landed at Newcastle a crew member announced that the flight was only 30 minutes behind schedule! Well marvellous not in my opinion. Having just flown around the world on another airline which was able to operate twelve out of thirteen flights either on time or ahead of schedule I have to say that I remain generally unimpressed.
440,Hong Kong to London in World. It was on the A380 - first time aboard and must say I was impressed. A much better experience than the Emirates A380. Great mood lighting large windows. Nice to have a number of small cabins on both decks. Friendly service from the crew.
441,April 3 2015 Sydney-LHR. Staff were quite attentive and pleasant throughout both sectors. The cabin looked very new was clean and comfortable. IFE was fine although not as good as CX. I was sitting in window seat facing backwards which was fine. The seat while sitting is comfortable enough although quite narrow. There is little storage and it can be awkward getting in and out of the seat especially when you are on the window. The problem was when the seat was in flat-bed mode. It is so narrow that you cannot turn. The seat buckles in the middle. As well the passenger next to me would slam his table and TV monitor shut throughout the flight and because of the design the seat you feel every movement. To get comfortable I had to put the seat in more of a recline mode in order to sleep which defeats the whole purpose of a flat bed. As well a fold down footstool completes the end of the bed and it wasn't stable. BA are charging a premium for this seat and they squeeze 8 across (compared to 4 for CX). They are making a great deal out of this amount of real estate in the air. It is time for them to deliver an update. The only reason I took this fare was because of the great luggage offering (which I needed on this occasion - 96 kg) and the fact that I was flying back in First for no additional cost which I will post about separately. So while I recommend this airline overall it is more because the service and staff did compensate. Next time I fly business it will be CX again. The seat is a real let down.
442,15th Aug 2014 flight BA0272. Me and my 3 friends flew from SAN to LHR then to IST. Our check in and baggage processes took almost 2 hours to be completed. I wonder what would happen if we were not been there 5 hours before our flight. When they gave us our tickets we saw that they put us all separately. They could not even manage to sit us together. When I was thinking how could this get worse we missed our LHR-IST flight and waited in a queue for 3 hours to go to our hotel. While a clerk was trying to complete our check-in for 2 hours another clerk next to her managed to complete half of the passengers processes and when we were boarding the plane we learnt that the plane was overbooked and the other cl erk was offering 800 dollars per person and free accommodation for volunteer passengers to fly on the next plane.
443,April 15 LHR-Sydney (via Singapore). I flew First as part of a promotion for no additional cost with purchase of business seat on SYD-LHR leg. I really enjoyed the Concorde Room at Terminal 5 lovely meal great service and very elegant space. In terms of the flight the FA were very friendly and helpful on all legs. They went out of their way to make you feel special and a guest. Food was very good as was wine offering. Seat was comfortable and roomy although there is a lot less storage then in CX Business Seat. In fact while there is a lot of room much of it really is not that useful. At night FA did disappear for much of the time and didn't really come around (except once) to offer water/juice. Whereas on SQ economy FA would check on you regularly throughout flight. While of course it is very special to fly First next time I would be just as happy to fly CX Business which I think is really great value for money and the seats are just as or maybe even more comfortable. If I had paid full fare for this flight I think I would have been questioning the value for money.
444,BA662 31st March. BA662 14th April. BA makes us think 'better quality'. However the flight to and from Cyprus is now disappointing in terms of food offered. The duration is over 4 hours and it is not acceptable for them to offer 2 cold sandwiches.
445,BA 730 LHR-GVA 20 Apr 15. Are fooling no-one with their new Club Europe Business Class seats - they look nice - but are too close together providing extremely poor legroom! As a regular London to Geneva traveller I will go back to flying Swiss! The decision to change this is almost as bad as the stupid decision to have seats facing backwards in Club World where you have to face strangers and climb over others to get to your seat. If you can't fly First Class with BA choose another airline until they remedy these issues because their Business Class product is rubbish!
446,BA0010 World Traveller 4 Apr 2015. Bangkok-Heathrow (London). BA0009 World Traveller 17 Apr 2015 Heathrow (London) - Bangkok. The check in staff were unhelpful and refused to check my luggage through despite it being done on the first leg of my trip I also met others on the same flight where this was allowed. The plane was old. The Cabin crew were professional however compared to the middle eastern airlines the service wasnt nearly as good.
447,LHR-BKK in Club on B777. Fourth long haul leg on BA in the last month and this was by far the best flight. That said I still think the product is disappointing. I'm the camp that says the seats are highly uncomfortable. They are far too narrow as an average sized person still finds their arms draped across the arm rests while trying to sleep. You simply can't keep your arms by your side. As such little to no sleep. IFE outdated and awful.
448,LHR-AMS-LHR in Club Europe on A321. Nice service for a short hop. I think BA's Club Europe product is better than their long haul product. No flat beds but aircraft were in good condition cabin crews professional efficient and genuinely nice. Food was actually edible with a cheese and charcuterie plate. Both flights delayed due to Heathrow congestion and Amsterdam weather but other than that a pretty good experience.
449,"LHR-PHL BA067 19th April. One of the features of a British Airways (BA) flight that attracted me in the past was the breadth of special-meal options. This until recently included a ""seafood meal"". Indeed ten years ago BA had fisherman's pie as an option in economy class not just the horrible and relentless chicken-or-pasta - then they boasted of their support for the British fishing industry - no longer. Seafood meals are gone. Why? From a BA response: ""I'd like to inform you that the meals have been removed due to the low volumes with many of our customers now choosing other options"". Indeed. If no seafood meal exists then there is no choice there are no options. There is only chicken-or-pasta. Really what would it take to offer a ""cold seafood meal"" a tuna-fish salad and a bread roll? One more reason to choose BA is gone. One more reason to fly with a Middle Eastern airline such as Etihad who still care about service of a sort that BA has started to abandon."
450,Flew BA1385/175 MAN-JFK. First flight full but smooth second flight on old but clean 747 with good leg room. Wifi and food good. Was just thinking as we were landing early what a good flight it had been when landing was aborted abruptly and we circled again eventually the captain said that two warning lights had gone off but the problem appeared to be rectified his manner remained calm and the plane landed safely me and several around me were obviously very anxious.
451,17 April 2015 Airbus A320 Business Heathrow to Lisbon. A total waste of money. The food was horrible. A couple of sandwiches and a lousy bread served with jam. There was no entertainment system and the only difference I could find from economy was that the middle seat was empty and a portable table was placed between the arm rests. The seat pitch was pathetic and could not even get a rest. I am very disappointed that I did not choose TAP instead of British.
452,LHR to SYD on 1/3/15 and ACK to LHR on 14/3/15. After some poor reviews I was a little worries as to the quality and whether premium economy would be worth the extra cost. I have previously travelled down under with Cathay and Malaysian and wondered how BA would measure up. I was pleasantly surprised. Cabin on both planes was clean staff mostly attentive (Hong Kong leg to Heathrow staff were worst of the 4 legs - ok but didn't seem overly interested in going the extra mile). As a taller person I appreciated the additional legroom and recline although when passenger in front reclined it is tricky to get out of your seat. I had veggie meals which were generally tasty and as usual served prior to everyone else - i did have to remind staff on the last leg to offer me a drink when they served everyone else's meal. Film selection was excellent - travelling shortly after Oscar season meant most of the big nominated films were available! I will definitely pay for PE again on long-haul.
453,My experience on return BA flights to LHR to Tokyo Narita in April 2015 scores very low. I used to fly on Virgin Atlantic for the same journey on Business Class for the past 10 years so I have something to compare and the fare is always more or less the same between those 2 airlines. Conclusion is that you get far better value and service for money for the Business Class on Virgin was my impression. BA T5 lounge is very photogenic but the reality is quite 'basic' and cheap decor. Selection of food and beverages is limited. In the end I got fed up so I left the lounge to get better food from Wetherspoons! Since I'm small both airlines seats are fine to get a good sleep. On BA you'd still have to pay to select your seat despite paying thousands of pounds! Also if you are in the middle aisle on BA you are right next to a stranger which is awkward. BA gives out Elemis kits. Food: on BA there is a 'fixed' options. For the dessert you have to choose either 'cake' or 'cheese'. Not both. Also not too different a menu from Economy class. BA's service felt extremely limited they don't know your names they just do the very minimum service. BA disappointed me.
454,My return flight from Heathrow to Bologna last week reminded me of how good BA is for short haul in economy. Even a two-hour delay because of technical problems on the outgoing flight did nothing to change that view. The pilot kept us up to date on what was happening. The crew were charming. OK the snack of a sandwich on such flights is pretty basic but the whole experience is so much more civilized than on budget airlines.
455,Gatwick to Thessaloniki return. Outbound ok not fantastic but certainly not bad. However where BA scored was on the return. At check-in the clerk was all prepared for my wife and I even though we were on separate bookings including ready printed lounge passes with my guest pass stapled to her own. Maybe a little thing but it made a difference.
456,DEL-LHR BA 256. Seats 17AB downstairs in business class in B747-400 G-BNLY. The aircraft is an old lady now but the interior is well maintained. Her age was most noticeable looking at the in-flight screen. I have become used to the clarity of modern screens and the faded dim and blurred old fashioned moving map and flight information screens are a relic of a distant past. I have made several long haul flights with BA in Business Class recently and have decided that I don't like the standard BA model business class seat. There is nowhere to put small items like glasses pens landing cards and so on. There is a drawer at floor level suitable for shoes and other items you will not want during the flight but to access it you need an upright seat and have to sit well forward to lean down to it. There is no foot rest integrated into the seat one you can adjust to your own preferred level. At the front of the seat pod is a flap then can be lowered by getting out of the seat. It is not strong and so can not be used as a seat and is not an ottoman. Clunky and peculiar to BA it is not a design feature that enhances the seat. Individual seats feel narrow and the window seat pod facing aft is accessed through a narrow entrance leading into a snug and very private space. Thoughts about coffins come to mind. When the passenger in the row behind has their seat flat their feet cross the entrance to yours and have to be stepped over to exit. Seat 17B was a poor choice. It is just aft of a set of catering cupboards that are frequently accessed during meal service and a washroom that seems to be in use almost continuously with queues stretching past the seat after meals and before landing. On the good side the seats are well contoured and comfortably padded.
457,"10 April 2015 Airbus A320 Business Heathrow to Rome FCO. A total waste of money. The food was ""tea"" there was no entertainment system and the only difference I could find from premium coach or regular coach was that the middle seat was empty and a portable table was placed between the arm rests. As alcoholic beverages are provided for all classes there's nothing to be gained there the seat pitch was pathetic and aside from having the middle seat empty the only benefit to be had was boarding and de-planing first. Don't waste your money unless someone else is paying for it."
458,Flew BA256 from Delhi to Heathrow - usual BA issues which have been repeated here many times. Firstly the First cabin was not clean (at all) with debris on the floor food still in the seat - it's pretty pathetic when you have to spend 5 minutes cleaning your area when you board! The food - the food can only be described as truly awful! To be honest I would be complaining if I received this standard of food in economy - the starter was a watery oily leek and potato soup and for the main two small lamb chops overdone in gravy with 6 tiny potatoes that deflated when pierced with a fork. I did not bother with desert! Afternoon tea served up (probably) the worst patisserie I have ever had the displeasure of tasting - completely inedible. The cabin crew were good and pleasant however I was not offered any bottled water for a 10 hour flight. It would seem to me that BA are a budget airline trying to do luxury and failing horribly. Surely management cannot be happy with their current standards but I am struggling to see any level of improvement (I take at least 1 first class international flight every year). Have flown BA for 15 years will now be trying other airlines. The lounge (not run by BA but used by BA) at Delhi was very good indeed.
459,9 April 2015 BA 777 Business Class Seattle USA - Heathrow. Check-in easy lounge good boarding pleasant. Food quality was good not excellent but the film choice was great. Flat bed seats were comfortable enough. The breakfast was a little skimpy. The major downside was that for the money you pay for business class you should not have to pay to choose a seat at booking. BA will let you choose seats 7 days in advance if you are a mileage plan 1st elevated tier or better member but if not then you have to wait until 24 hours ahead. Of course you can always fork over another $113 to pre-reserve a seat. Talk about biting the hand that feeds you.
460,We flew for the very first time on BA on 27/03/15 and returned 06/03/15. Our holiday to St Lucia from Gatwick was booked through Kuoni and we usually fly with Virgin Atlantic. We always upgrade with Virgin to Premium Economy as you have a larger luggage allowance and the Premium Economy Experience with Virgin is very good. Therefore we booked BA World Traveller Plus expecting the same degree of service. What a disappointment! I would not advise wasting your upgrade money. Apart from getting the larger luggage allowance BA World Traveller Plus is almost exactly the same as World Traveller. The Service both ways was appalling! The seats were old and shabby and uncomfortable we were only offered bar service once on a 8/9 Hour flight! We had to drink from plastic beakers the staff seemed preoccupied with Business Class Customers and had no time for our section at all. On the way back my Husband and myself were given seats 2 rows apart at check in without being told. We only noticed when we boarded the aircraft. On this length of flight I was most upset we were apart as everyone sat near me were single travellers and Were asleep throughout the 9 hours. The seat back TVs are very small and my TV didn't work properly and I couldn't even watch anything. The aircraft was badly in need of an interior upgrade. We will never fly with BA again anywhere and will not recommend the experience to anyone.
461,Substandard food in Business Class (London to Mauritius) arbitrary upgrade policy - as we could not afford Bus Class on return flight booked Premium Economy we told that because we were Bus on way out we would get priority consideration on way back. Charging for Seat selection is a rip off was separated from my wife on way out!
462,While I booked with BA I at first did not realise that they were putting me on a Vueling Airline but flying under a BA number. Quite clearly this airline is at the bottom of the bucket airlines in both service and comfort. As we were flying back from Barcelona to the UK having my knees wedged up against the seat in front only lasted a couple of hours. The food service which you had to pay for was indifferent and very expensive. If you sat in the middle of the plane you just didn't get served. Probably the most worrying thing besides the extremely poor English by cabin and flight crew was the cabin staff apparent indifference to seats being up right for landing preventing some passengers taking their over head luggage down while in the air and on landing passengers up and around while the aircraft was moving. Perhaps UK bucket airlines are not so bad.
463,BA 208 MIA-LHR in Club. Leg four of a seven leg BA adventure. Another disappointment which is becoming commonplace. As in leg one BKK-LHR my pre-assigned business class seat that I had selected months before departure mysteriously vanished at the gate. In the end BA needed the seat for a family to be seated together. All well and good mind you but to have the audacity to charge passengers for these seats and give them away is absolutely disgraceful. As such my quiet no traffic window seat on the upper deck was quickly relegated to a high traffic aisle seat on the main deck right near the lavatory and galley ensuring no sleep on the overnight flight. As a loyal OneWorld Emerald passenger I can honestly say BA really don't care about us in this (or any) regard. The CSD was sympathetic and kind but nobody else seemed to care one bit. That hasn't happened to me on any other carrier for years and has happened twice in the past few weeks on BA. Moral of the story: Never ever pay BA for a pre-assigned seat as there is simply no guarantee you will get what you pay for. Moral of the story part 2: fly another carrier if you can as it can't be much worse than BA.
464,British Airways could not care less when they knew our flight from Leeds to Heathrow had been diverted. Some queued two hours for another flight with two children only to be told we had to go to Heathrow by coach with no toilet. We had nothing to eat at the airport as no one knew what was happening. We finally got to Heathrow to be put up in a hotel and have a meal so we could fly to Miami the next day. It was a total farce at Leeds we lost a days holiday and with two children there was no consideration for them at all. We await our homeward journey on Monday and hopefully it will be a better trip back.
465,Travelled by Airbus 319 to Lyon and back to Heathrow. The new layout is very cramped. By reducing the legroom in Club Europe and removing one of the toilets at the rear they have crammed in 11 more seats. Seats 25A and B have no window as they are placed where the toilet used to be. They are adjacent to the door of the one remaining toilet. Not very pleasant. Expect long queues to use this one remaining lavatory. They also seem to have done away with the cooked breakfast on all European flights that start before 9.30am.
466,LGW to LAS had a great trip out on 2/4/15 good food IFE was fine for the daytime trip wine was flowing. Trip made even better by an upgrade to PE on return journey staff found out my partner and I got engaged couldn't have been nicer. Everything great apart from the final leg to DUB Gatwick didn't send our bags (even though we had a 6 hour layover) then preceded to keep us hanging in DUB for another 5 hours on the promise that they were on the next flight and the next ground staff of Aer Lingus were great too would fly all again.
467,LHR-FRA in Club Europe. First part is not really a review more a rant. I travel a lot for work and always try to fly BA whenever possible and so am lucky enough to have a Gold card So for our annual vacation I was looking forward to hopefully getting us all (wife plus 9 year old daughter) into the First Class lounge at LHR as a nice start to our holidays sadly the staff member on the door said no. - yes I know you can only normally sign in 1 guest but for my other 50+ flights a year I never sign in anyone! Still no joy-computer said no. So I asked the guy behind me if he would mind signing my wife into the lounge at which pointthe staff member told him quite aggressively 'that is not protocol'. We walked away having been made to feel like naughty kids. Rest of the trip was fine-In fact I would go as far as to say the flight was excellent-really friendly cabin crew who made us feel welcome and gave us a good start to the holidays. Actually I would say this was BA at its best (having just seen them at their worst!). Score given here reflect the good service in the air (would give almost full marks if not for the ground staff behaviour).
468,Travelled MAN-LHR-ATL and back. Boarding at MAN chaotic with queue in a corridor (probably not BA's fault). Delayed departure from LHR on a very full 777-200. Food and wine good but the Club World cabin is very cramped with very little space to put anything. I don't mind the back and front seating (I could look at my wife!) but the seat is narrow and not the most comfortable for sleeping. Very good attentive crew. Wide variety of films/music on IFE. On return the third party Lounge (Club at ATL) is much better than the Delta one. Full flight very similar to outbound but slightly early arrival at LHR was negated by the domestic flight being delayed by 90 minutes due to runway problems.
469,"BA0676 IST-LHR Boeing 767. Euro Traveller cabin. Read the reviews and we pre booked exit row seats 27A/B excellent choices. Leg room superb I'm 1.90m (6'3"") tall and could stretch right out with a window too. Still an old 767 though with no personal entertainment or power. Appeared to have the newer seats which were OK surprisingly the four hour flight passed quite quickly. Food was actually very good and the crew superb. Disappointing choice of alcohol though no JD or Rum. Departed IST about twenty minutes late but were only ten minutes late into LHR. Well done BA better than the outward experience reviewed earlier."
470,LGW-SZG in business class. Not sure what the point is with the new reduced legroom Club Europe seats. OK breakfast but was able to get breakfast in the lounge beforehand anyway. Only reason for going CE was because only £30 more than flexible economy ticket. If there was a big difference I wouldn't bother. Flight was on time.
471,Flew to Bangkok from London Heathrow on 13th March. First time I have ever flown with BA normally fly long haul with Virgin but they don't fly to Bangkok. We were offered upgrades in the last few days for big discount but only on the flight out. World traveller plus was very good with fab leg room and comfy seats. Nice food too. Managed to sleep 5 hours in quiet cabin. But if I had paid normal price then it was not worth the extra money as we found economy seats on the flight home were very comfy and good leg room. The plane was older 777 but not problem. very clean and the staff were attentive. I was nervous because of previous reviews but no need to be as we had a very enjoyable flight.
472,LHR-JFK/IAD-LHR. Superb round trip (for a very fair price) in economy with BA. Flight out was an hour or so late taking off because of the weather but was excellent once we got going. Fairly creaky 747 but the IFE was fine (good film selection) and the free booze flowed throughout. Great curry on the food front. Return was the real highlight on a new A380 that had joined the fleet four weeks ago. Large TVs even bigger selection of films/TV shows/games and the usual good free food (shepherd's pie) and drink (red wine and beer). Comfy seats with plenty of leg room (and I'm over six foot). Service on both flights exemplary and I have to say that I think BA have become a really class act.
473,Flew 30th March 2015 LHR-YVR return with my school on a rugby tour (27 people). Seats were reasonably comfortable and they catered to my food requests of no pork well. Enjoyed it. But the IFE was absolutely horrendous and did not meet my expectations of British Airways- outdated movies with TV shows from 3 months before. Since we were flying on a Boeing 747-400 there were more seats per aisle but this made the cabin feel quite cramped. One recommendation for them - put fewer seats per aisle! Even though there were negatives flying outbound I have to say the return was great. I had swapped seats with another boy who wanted to sit next to someone so I sat in the extra legroom seats. IFE was far better and due to having the window seat I was able to sleep for around 6 hours when I was awoke by the breakfast/snack which was decent. Food had no flavour and was quite spicy (Lentil masala) but still edible. Although my experience on BA84 was very enjoyable I heard many of my companions had to move seats because of the not working IFE. One of my coaches had ordered orange juice so the cabin crew gave it to him as they were serving but then the other one would take it away for some reason and in the end they said they had none left. He had flown with Cathay Pacific to Manila the preceding week and he said that he had enjoyed that thoroughly. One of his worst experiences of air travel especially due to him being 6'4 and rather large. Overall a decent experience but just met my expectations. To improve British Airways need to start to be able to compete with other airlines like Singapore Emirates Etihad Cathay Pacific and Qantas as there service and level of comfort has definitely taken over from BA.
474,Heathrow to Istanbul flight BA0676 in club class. I should have guessed what I was going to get when I saw this service is operated on a Boeing 767. Business or club class is a total waste of money same seat as in economy. No extra leg room or width no individual inflight entertainment and no seat power it's horrendous you may just as well book euro traveller. Both seats had seen better days the covers of which were in places falling apart. Food was only average too in my opinion. On the plus side of things the plane was for its age (it was the oldest 767 BA has got) in surprisingly good order and the staff were friendly enough and the flight arrived only ten minutes late which is a result.
475,LHR to Philadelphia but return from JFK. Booked Club World and upgraded to First with Avios. Great service as always in First and the Concorde room continues to excel.
